,분류,제목,날짜,주소,,,,,,,,,
686,AI학부 공지사항,2023-1학기 국내학점교류(제주대학교) 신청 안내,2023-01-04,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434731&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
687,AI학부 공지사항,2022학년도 2학기 마일리지 장학금 신청 안내,2023-01-04,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434730&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
688,AI학부 공지사항,2023년도 1월 공인어학시험 모의토익 실시 안내,2023-01-04,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434729&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
689,AI학부 공지사항,[RIS사업]제1회 미래차전환부품사업단 대학생 모형전기차 자율주행 ..,2022-12-29,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434628&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
690,AI학부 공지사항,2023학년도 DGM 융합인재 모집 안내,2022-12-27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434564&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
691,AI학부 공지사항,2023학년도 제1학기 재입학 전형 실시 안내,2022-12-23,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=434498&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
692,AI학부 공지사항,신기술 분야(반도체) 취업 SKILL-UP 캠프 안내,2022-12-13,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=433347&page=6&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
693,AI학부 공지사항,2022-2 공학교육인증 이수포기서 제출 안내,2022-12-12,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=433179&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
694,AI학부 공지사항,2022학년도 폭력(성희롱·성폭력·성매매·가정폭력)예방교육 온라..,2022-12-08,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=432718&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
695,AI학부 공지사항,2022학년도 전기(2023.2월) 졸업예정자 대상 주요 학사일정 안내..,2022-12-08,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=432681&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
696,AI학부 공지사항,[지역선도대학육성사업단] 온라인 공동프로그램 모집 재안내..,2022-12-07,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=432610&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
697,AI학부 공지사항,2023학년도 AI학부 1차 종합설계 부품 신청 안내,2022-12-02,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=432172&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
698,AI학부 공지사항,2022학년도 2학기 졸업예정자 대상 진로취업카드 작성 안내..,2022-12-01,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=431918&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
699,AI학부 공지사항,[대학혁신]2022학년도 DU-HEART 인재인증제 안내,2022-12-01,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=431884&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
700,AI학부 공지사항,[대학혁신] 2023-1학기 DU-도전학기 참여자 모집 안내..,2022-11-29,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=431420&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
701,AI학부 공지사항,2023-1학기 국가장학금 1차 필수신청 안내,2022-11-22,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=430505&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
702,AI학부 공지사항,2022학년도 제2학기 캡스톤디자인 경진대회 안내,2022-11-22,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=430406&page=7&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
