,class,title,date,url
68,복지,[캠퍼스사업팀] 행복기숙사 주변 인프라 변화 안내,2023-08-25,https://daegu.ac.kr/article/DG159/detail/637310
69,학생모집,2023-2학기 DU사회공헌단 행복나눔 참가자 모집,2023-08-24,https://daegu.ac.kr/article/DG159/detail/637306
70,도서관,2023학년도 1학기 도서관 개인사물함 물품 철거 공 ...,2023-08-24,https://daegu.ac.kr/article/DG159/detail/637305
71,수업학적,[교육봉사] 2023년도 2학기 대전해든학교 교육봉사자 ...,2023-08-24,https://daegu.ac.kr/article/DG159/detail/637301
72,장학,2023-2학기 국가근로(교외) 2차 추가 신청 안내,2023-08-24,https://daegu.ac.kr/article/DG159/detail/637300
73,교육봉사,[교육봉사] 대건중학교 2학기 대학생 교육봉사자 모집 ...,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637289
74,도서관,2023년 8월 이달의 주목해야 할 신간도서,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637285
75,복지,2023학년도 제2학기 학생통학버스 이용 안내,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637284
76,학생모집,(마감) [IPP] (주)은창 IPP형 일학습병행 학기 ...,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637283
77,수업학적,[취업] 2023-2학기 진로·취업교과목 안내,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637282
78,학생모집,( 마감)삼화회계법인 대구지점 IPP형 일학습병행 학기 ...,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637281
79,수업학적,"[수업] 2023-2학기 개강일, 수강변경, 폐강공고 ...",2023-08-23,https://daegu.ac.kr/article/DG159/detail/637275
80,행정안내,[생활체육교육센터] PT·골프·요가프로그램 안내,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637271
81,수업학적,2023학년도 2학기 공통교양 영어교과목 이수 면제 신 ...,2023-08-23,https://daegu.ac.kr/article/DG159/detail/637270
82,도서관,2023년 2학기 도서관 개인사물함 신청 공지,2023-08-22,https://daegu.ac.kr/article/DG159/detail/637262
83,장학,[국가근로] 2023-2학기 1차 선발 국가근로장학생 ...,2023-08-22,https://daegu.ac.kr/article/DG159/detail/637261
84,수업학적,[LINC3.0] 2023학년도 교육성과확산프로그램 공 ...,2023-08-22,https://daegu.ac.kr/article/DG159/detail/637255
85,학생모집,2023-2학기 영어클리닉 프로그램 신청 안내,2023-08-21,https://daegu.ac.kr/article/DG159/detail/637240
86,수업학적,"[K-MOOC] 2023학년도 2학기 강좌 ""수강안내""",2023-08-21,https://daegu.ac.kr/article/DG159/detail/637238
87,도서관,2023년 8월 베스트셀러 목록,2023-08-21,https://daegu.ac.kr/article/DG159/detail/637230
88,수업학적,"[교육생모집] 고용노동부 승인, 코딩, AI 관련 교육 ...",2023-08-17,https://daegu.ac.kr/article/DG159/detail/637207
89,학생모집,[현장실습] 2023학년도 2학기 학기제 국내현장실습 ...,2023-08-17,https://daegu.ac.kr/article/DG159/detail/637198
90,학생모집,[국내현장실습] 2023년도 경북신용보증재단 2학기 학 ...,2023-08-17,https://daegu.ac.kr/article/DG159/detail/637196
91,도서관,창파도서관 세미나실1(1층) 에어컨 작업 공지,2023-08-16,https://daegu.ac.kr/article/DG159/detail/637178
92,수업학적,수강신청 시 불법 매크로 사용 금지 안내,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637168
93,도서관,광복절 및 부서연수로 인한 도서관 휴관 안내,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637160
94,행정안내,(경찰청)모방범죄 예방 관련 카드뉴스 게시,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637152
95,수업학적,[학위수여]2022학년도 후기 학위수여식 안내,2023-08-14,https://daegu.ac.kr/article/DG159/detail/637150
96,복지,2023-2학기 시외노선 통학버스 신청 안내,2023-08-11,https://daegu.ac.kr/article/DG159/detail/637141
97,장학,2023학년도 2학기 예비 장학생 선발 확인 안내,2023-08-10,https://daegu.ac.kr/article/DG159/detail/637137
98,장학,2023-2학기 국가장학금 2차 신청 안내,2023-08-10,https://daegu.ac.kr/article/DG159/detail/637135
99,수업학적,[수업] 2023-2학기 장바구니 자동이관 및 본 수강 ...,2023-08-10,https://daegu.ac.kr/article/DG159/detail/637133
100,행정안내,"제6호 태풍 ""카눈"" 관련 재난 안전관리 협조 요청",2023-08-09,https://daegu.ac.kr/article/DG159/detail/637129
101,도서관,도서관 휴관 안내 8.10(목),2023-08-09,https://daegu.ac.kr/article/DG159/detail/637127
102,수업학적,학생회관 임시 폐쇠 안내,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637125
103,수업학적,[대학혁신] DU학과 탐색 프로그램(함께하는 우리)2 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637123
104,학생모집,[국내현장실습] (주)이랜드파크켄싱턴리조트 하동지점 학 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637118
105,교육봉사,[교육봉사] 달서구청소년문화의집 대학생 활동 멘토링 교 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637115
106,교육봉사,[교육봉사] 대전가원학교 2023학년도 2학기 자원봉사 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637114
107,수업학적,[차세대] 2023-2학기 반도체 제대로 이해하기 시험 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637112
108,학생모집,[평생교육원 행정실] 2023-2학기 수강생 모집 안내,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637109
109,학생모집,[국내현장실습] 2023년도 대구경북첨단의료산업진흥재단 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637104
110,학생모집,[IPP]그랜드하얏트 제주 채용연계 학기제 현장실습 모 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637102
111,학생모집,[IPP] 힐튼경주 2023-2학기 일학습병행 연계과정 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637101
112,학생모집,[국내현장실습] 2023년도 대구YMCA 2학기 학기제 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637086
113,학생모집,[국내현장실습] 2023년도 한국부동산원 2학기 학기제 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637085
114,도서관,부서연수로 인한 도서관 휴관 안내,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637063
115,학생모집,[대학혁신] 2023학년도 학적변동 성공사례 수기 공 ...,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637052
116,수업학적,[교직] 2023학년도 일반대학 교직과정 이수예정자 추 ...,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637048
117,교육봉사,[교육봉사] 2023년도 9-12월 대구창의융합교육원 ...,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637046
118,장학,2023년도 2학기 2차 국가근로장학금 학생신청기간 및 ...,2023-08-03,https://daegu.ac.kr/article/DG159/detail/637025
119,장학,2023-2학기 국가근로(교내 및 교외) 신청안내,2023-08-02,https://daegu.ac.kr/article/DG159/detail/637010
